,wall_time,step,value,log_dir,tag,dataset,resolution,model_step,sampler,inference_time,vae,fad_model,reference_dataset
48,1716554372.3108404,0,0.7741085886955261,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-audio_ref_fma_pop_gen_None,ssd,"512,128",40000,ddim,0.187,False,clap-laion-audio,fma_pop
49,1716554375.1178308,0,0.8230267763137817,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-music_ref_fma_pop_gen_None,ssd,"512,128",40000,ddim,0.187,False,clap-laion-music,fma_pop
50,1716554377.4791625,0,10.705581665039062,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddim_nisteps_100,fad_vggish_ref_fma_pop_gen_None,ssd,"512,128",40000,ddim,0.187,False,vggish,fma_pop
51,1716554380.2977483,0,0.7704475522041321,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-audio_ref_musiccaps_gen_None,ssd,"512,128",40000,ddim,0.187,False,clap-laion-audio,musiccaps
52,1716554382.9732869,0,0.8298590779304504,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-music_ref_musiccaps_gen_None,ssd,"512,128",40000,ddim,0.187,False,clap-laion-music,musiccaps
53,1716554385.569667,0,15.227993965148926,../hpc_tensorboard/models/ssd_512_128/model_step_40000/samples/sch_ddim_nisteps_100,fad_vggish_ref_musiccaps_gen_None,ssd,"512,128",40000,ddim,0.187,False,vggish,musiccaps
54,1716267516.0219111,0,0.9496588706970215,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-audio_ref_spotify_sleep_dataset_gen_None,ssd,"64,64",40000,ddpm,1.162,False,clap-laion-audio,spotify_sleep_dataset
55,1716267567.154915,0,0.8376287221908569,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-music_ref_spotify_sleep_dataset_gen_None,ssd,"64,64",40000,ddpm,1.162,False,clap-laion-music,spotify_sleep_dataset
56,1716267641.5601978,0,48.0794563293457,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_encodec-emb-48k_ref_spotify_sleep_dataset_gen_None,ssd,"64,64",40000,ddpm,1.162,False,encodec-emb-48k,spotify_sleep_dataset
57,1716267675.8478606,0,189.23635864257812,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_encodec-emb_ref_spotify_sleep_dataset_gen_None,ssd,"64,64",40000,ddpm,1.162,False,encodec-emb,spotify_sleep_dataset
58,1716267724.4270234,0,53.08641815185547,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_MERT-v1-95M_ref_spotify_sleep_dataset_gen_None,ssd,"64,64",40000,ddpm,1.162,False,MERT-v1-95M,spotify_sleep_dataset
59,1716267727.3274302,0,0.9664255976676941,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-audio_ref_fma_pop_gen_None,ssd,"64,64",40000,ddpm,1.162,False,clap-laion-audio,fma_pop
60,1716267730.2164416,0,1.0137207508087158,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddpm_nisteps_1000,fad_clap-laion-music_ref_fma_pop_gen_None,ssd,"64,64",40000,ddpm,1.162,False,clap-laion-music,fma_pop
