,wall_time,step,value,dataset,resolution,model_step,sampler,fad_model,reference_dataset
118,1716266899.0233536,0,1.1052747964859009,ds,"64,64",40000,ddim,clap-laion-music,musiccaps
119,1716266924.023713,0,89.49070739746094,ds,"64,64",40000,ddim,encodec-emb-48k,musiccaps
120,1716266926.5066056,0,662.2969360351562,ds,"64,64",40000,ddim,encodec-emb,musiccaps
121,1716266929.9161172,0,54.1362419128418,ds,"64,64",40000,ddim,MERT-v1-95M,musiccaps
122,1716266796.9395573,0,0.28062504529953003,ds,"64,64",5000,ddim,clap-laion-audio,drum_samples
123,1716266807.8841517,0,0.32449108362197876,ds,"64,64",5000,ddim,clap-laion-music,drum_samples
124,1716266861.460681,0,12.084280014038086,ds,"64,64",5000,ddim,encodec-emb-48k,drum_samples
125,1716266943.0347981,0,30.291427612304688,ds,"64,64",5000,ddim,MERT-v1-95M,drum_samples
126,1716266947.5193186,0,1.217766523361206,ds,"64,64",5000,ddim,clap-laion-audio,fma_pop
127,1716266951.9832547,0,1.15151047706604,ds,"64,64",5000,ddim,clap-laion-music,fma_pop
128,1716266980.0610085,0,106.408447265625,ds,"64,64",5000,ddim,encodec-emb-48k,fma_pop
129,1716266995.0416203,0,56.04952621459961,ds,"64,64",5000,ddim,MERT-v1-95M,fma_pop
130,1716266998.9973269,0,1.1794638633728027,ds,"64,64",5000,ddim,clap-laion-audio,musiccaps
131,1716267003.0183368,0,1.1213457584381104,ds,"64,64",5000,ddim,clap-laion-music,musiccaps
132,1716267035.0251126,0,75.844970703125,ds,"64,64",5000,ddim,encodec-emb-48k,musiccaps
133,1716267048.7819915,0,47.985008239746094,ds,"64,64",5000,ddim,MERT-v1-95M,musiccaps
134,1716266860.698042,0,0.24192239344120026,ds,"64,64",5000,ddpm,clap-laion-audio,drum_samples
135,1716266931.9147978,0,0.28917911648750305,ds,"64,64",5000,ddpm,clap-laion-music,drum_samples
136,1716266992.788145,0,12.00793743133545,ds,"64,64",5000,ddpm,encodec-emb-48k,drum_samples
137,1716267018.0820925,0,49.7732048034668,ds,"64,64",5000,ddpm,encodec-emb,drum_samples
138,1716267051.98899,0,31.27093505859375,ds,"64,64",5000,ddpm,MERT-v1-95M,drum_samples
139,1716267054.8896894,0,1.16312575340271,ds,"64,64",5000,ddpm,clap-laion-audio,fma_pop
140,1716267057.809506,0,1.1196311712265015,ds,"64,64",5000,ddpm,clap-laion-music,fma_pop
141,1716267079.2366898,0,103.18498992919922,ds,"64,64",5000,ddpm,encodec-emb-48k,fma_pop
142,1716267081.737514,0,698.7693481445312,ds,"64,64",5000,ddpm,encodec-emb,fma_pop
143,1716267085.0222597,0,55.4931755065918,ds,"64,64",5000,ddpm,MERT-v1-95M,fma_pop
144,1716267087.7897992,0,1.1220557689666748,ds,"64,64",5000,ddpm,clap-laion-audio,musiccaps
145,1716267090.567795,0,1.0852136611938477,ds,"64,64",5000,ddpm,clap-laion-music,musiccaps
146,1716267111.3803327,0,72.97543334960938,ds,"64,64",5000,ddpm,encodec-emb-48k,musiccaps
147,1716267113.8051398,0,547.5032958984375,ds,"64,64",5000,ddpm,encodec-emb,musiccaps
148,1716267117.0551069,0,47.26383972167969,ds,"64,64",5000,ddpm,MERT-v1-95M,musiccaps
149,1716266788.5265026,0,0.33053189516067505,ds,"64,64",1000,ddim,clap-laion-audio,drum_samples
150,1716266797.828946,0,0.36325567960739136,ds,"64,64",1000,ddim,clap-laion-music,drum_samples
151,1716266827.417837,0,12.485302925109863,ds,"64,64",1000,ddim,encodec-emb-48k,drum_samples
152,1716266837.2080507,0,56.18873977661133,ds,"64,64",1000,ddim,encodec-emb,drum_samples
153,1716266851.0724206,0,40.015323638916016,ds,"64,64",1000,ddim,MERT-v1-95M,drum_samples
