,wall_time,step,value,dataset,resolution,model_step,sampler,vae,num_fad_samples,fad_model,reference_dataset
112,1716685558.2720156,0,0.8302994966506958,ssd,256,40000,ddpm,,640,clap-laion-music,fma_pop
113,1716685560.5802226,0,11.497715950012207,ssd,256,40000,ddpm,,640,vggish,fma_pop
114,1716685563.2674346,0,0.6969417929649353,ssd,256,40000,ddpm,,640,clap-laion-audio,musiccaps
115,1716685565.8718543,0,0.8078429102897644,ssd,256,40000,ddpm,,640,clap-laion-music,musiccaps
116,1716685568.0419178,0,15.541172981262207,ssd,256,40000,ddpm,,640,vggish,musiccaps
117,1716266066.9468226,0,0.6249386668205261,ssd,256,40000,ddim,,2048,clap-laion-audio,spotify_sleep_dataset
118,1716266126.1264184,0,0.611859917640686,ssd,256,40000,ddim,,2048,clap-laion-music,spotify_sleep_dataset
119,1716266140.5382824,0,5.787899017333984,ssd,256,40000,ddim,,2048,vggish,spotify_sleep_dataset
120,1716266238.3563492,0,25.787778854370117,ssd,256,40000,ddim,,2048,encodec-emb-48k,spotify_sleep_dataset
121,1716266273.9466197,0,148.36138916015625,ssd,256,40000,ddim,,2048,encodec-emb,spotify_sleep_dataset
122,1716266488.6122005,0,27.92424964904785,ssd,256,40000,ddim,,2048,MERT-v1-95M,spotify_sleep_dataset
123,1716266491.6084895,0,0.7647392749786377,ssd,256,40000,ddim,,2048,clap-laion-audio,fma_pop
124,1716266494.5841882,0,0.8484863042831421,ssd,256,40000,ddim,,2048,clap-laion-music,fma_pop
125,1716266497.152014,0,11.159649848937988,ssd,256,40000,ddim,,2048,vggish,fma_pop
126,1716266510.729584,0,114.77639770507812,ssd,256,40000,ddim,,2048,encodec-emb-48k,fma_pop
127,1716266513.2268195,0,421.0693359375,ssd,256,40000,ddim,,2048,encodec-emb,fma_pop
128,1716266516.6020265,0,28.954927444458008,ssd,256,40000,ddim,,2048,MERT-v1-95M,fma_pop
129,1716266519.4056227,0,0.7358289361000061,ssd,256,40000,ddim,,2048,clap-laion-audio,musiccaps
130,1716266522.2482939,0,0.8483445048332214,ssd,256,40000,ddim,,2048,clap-laion-music,musiccaps
131,1716266524.6908073,0,15.183123588562012,ssd,256,40000,ddim,,2048,vggish,musiccaps
132,1716266536.585423,0,82.33868408203125,ssd,256,40000,ddim,,2048,encodec-emb-48k,musiccaps
133,1716266538.9759595,0,305.389892578125,ssd,256,40000,ddim,,2048,encodec-emb,musiccaps
134,1716266542.4793603,0,25.110679626464844,ssd,256,40000,ddim,,2048,MERT-v1-95M,musiccaps
135,1716685028.0167465,0,0.6239858269691467,ssd,256,40000,ddim,,819,clap-laion-audio,spotify_sleep_dataset
136,1716685113.0289886,0,0.6093778014183044,ssd,256,40000,ddim,,819,clap-laion-music,spotify_sleep_dataset
