,wall_time,step,value,dataset,resolution,model_step,sampler,vae,fad_model,reference_dataset
148,1716553469.7316532,0,0.7821888327598572,ssd,"256,256",5000,ddpm,vae,clap-laion-audio,fma_pop
149,1716553475.4153585,0,0.9711116552352905,ssd,"256,256",5000,ddpm,vae,clap-laion-music,fma_pop
150,1716553478.8135698,0,12.884300231933594,ssd,"256,256",5000,ddpm,vae,vggish,fma_pop
151,1716553481.5703764,0,0.7406705021858215,ssd,"256,256",5000,ddpm,vae,clap-laion-audio,musiccaps
152,1716553484.328686,0,0.9710958003997803,ssd,"256,256",5000,ddpm,vae,clap-laion-music,musiccaps
153,1716553486.6621947,0,16.664932250976562,ssd,"256,256",5000,ddpm,vae,vggish,musiccaps
154,1716553469.32301,0,0.7991663217544556,ssd,"256,256",5000,ddim,vae,clap-laion-audio,fma_pop
155,1716553475.054616,0,0.9689555764198303,ssd,"256,256",5000,ddim,vae,clap-laion-music,fma_pop
156,1716553478.4507058,0,13.17322063446045,ssd,"256,256",5000,ddim,vae,vggish,fma_pop
157,1716553481.224132,0,0.7605761289596558,ssd,"256,256",5000,ddim,vae,clap-laion-audio,musiccaps
158,1716553483.9777493,0,0.9831775426864624,ssd,"256,256",5000,ddim,vae,clap-laion-music,musiccaps
159,1716553486.301589,0,17.245174407958984,ssd,"256,256",5000,ddim,vae,vggish,musiccaps
160,1716553061.3463285,0,0.7714442014694214,ssd,"256,256",10000,ddpm,vae,clap-laion-audio,fma_pop
161,1716553067.1529467,0,0.9567198157310486,ssd,"256,256",10000,ddpm,vae,clap-laion-music,fma_pop
162,1716553070.5756521,0,12.578584671020508,ssd,"256,256",10000,ddpm,vae,vggish,fma_pop
163,1716553073.3269594,0,0.729547917842865,ssd,"256,256",10000,ddpm,vae,clap-laion-audio,musiccaps
164,1716553076.0754135,0,0.9562790393829346,ssd,"256,256",10000,ddpm,vae,clap-laion-music,musiccaps
165,1716553078.4256146,0,16.49496841430664,ssd,"256,256",10000,ddpm,vae,vggish,musiccaps
166,1716552675.6272793,0,0.7906073927879333,ssd,"256,256",10000,ddim,vae,clap-laion-audio,fma_pop
167,1716552682.2689667,0,0.9557760953903198,ssd,"256,256",10000,ddim,vae,clap-laion-music,fma_pop
168,1716552685.7184002,0,12.973336219787598,ssd,"256,256",10000,ddim,vae,vggish,fma_pop
169,1716552688.4340405,0,0.7523971199989319,ssd,"256,256",10000,ddim,vae,clap-laion-audio,musiccaps
170,1716552691.20444,0,0.9720523953437805,ssd,"256,256",10000,ddim,vae,clap-laion-music,musiccaps
171,1716552693.594334,0,17.188060760498047,ssd,"256,256",10000,ddim,vae,vggish,musiccaps
172,1716553469.1227005,0,0.7612239718437195,ssd,"256,256",20000,ddpm,vae,clap-laion-audio,fma_pop
173,1716553474.9994931,0,0.940872311592102,ssd,"256,256",20000,ddpm,vae,clap-laion-music,fma_pop
174,1716553478.3992903,0,12.460472106933594,ssd,"256,256",20000,ddpm,vae,vggish,fma_pop
175,1716553481.0780873,0,0.7193157076835632,ssd,"256,256",20000,ddpm,vae,clap-laion-audio,musiccaps
176,1716553483.7520669,0,0.9390198588371277,ssd,"256,256",20000,ddpm,vae,clap-laion-music,musiccaps
177,1716553486.1079924,0,16.40758514404297,ssd,"256,256",20000,ddpm,vae,vggish,musiccaps
178,1716553468.2616315,0,0.775901198387146,ssd,"256,256",20000,ddim,vae,clap-laion-audio,fma_pop
179,1716553474.24572,0,0.9369277954101562,ssd,"256,256",20000,ddim,vae,clap-laion-music,fma_pop
180,1716553477.6703084,0,12.86202335357666,ssd,"256,256",20000,ddim,vae,vggish,fma_pop
181,1716553480.4358518,0,0.7369493842124939,ssd,"256,256",20000,ddim,vae,clap-laion-audio,musiccaps
182,1716553483.1740923,0,0.949039876461029,ssd,"256,256",20000,ddim,vae,clap-laion-music,musiccaps
183,1716553485.582544,0,17.089746475219727,ssd,"256,256",20000,ddim,vae,vggish,musiccaps
184,1716453250.9818194,0,0.751521110534668,ssd,"256,256",40000,ddpm,vae,clap-laion-audio,fma_pop
185,1716453459.6774461,0,0.9303514361381531,ssd,"256,256",40000,ddpm,vae,clap-laion-music,fma_pop
186,1716453572.6909888,0,12.346001625061035,ssd,"256,256",40000,ddpm,vae,vggish,fma_pop
187,1716453633.1266732,0,0.7091453671455383,ssd,"256,256",40000,ddpm,vae,clap-laion-audio,musiccaps
188,1716453725.3290854,0,0.9272158145904541,ssd,"256,256",40000,ddpm,vae,clap-laion-music,musiccaps
189,1716453824.1134083,0,16.297664642333984,ssd,"256,256",40000,ddpm,vae,vggish,musiccaps
190,1716453250.795121,0,0.7694536447525024,ssd,"256,256",40000,ddim,vae,clap-laion-audio,fma_pop
191,1716453459.9156795,0,0.9274264574050903,ssd,"256,256",40000,ddim,vae,clap-laion-music,fma_pop
192,1716453571.4662964,0,12.739933967590332,ssd,"256,256",40000,ddim,vae,vggish,fma_pop
193,1716453633.187065,0,0.731220006942749,ssd,"256,256",40000,ddim,vae,clap-laion-audio,musiccaps
194,1716453725.343878,0,0.9374263286590576,ssd,"256,256",40000,ddim,vae,clap-laion-music,musiccaps
195,1716453824.186944,0,16.98663902282715,ssd,"256,256",40000,ddim,vae,vggish,musiccaps
196,1716551536.8293505,0,1.1107094287872314,mc,"256,256",100,ddpm,vae,clap-laion-audio,fma_pop
197,1716551542.7621365,0,1.1932109594345093,mc,"256,256",100,ddpm,vae,clap-laion-music,fma_pop
198,1716551546.174238,0,17.074209213256836,mc,"256,256",100,ddpm,vae,vggish,fma_pop
199,1716551548.8949687,0,1.0573006868362427,mc,"256,256",100,ddpm,vae,clap-laion-audio,musiccaps
200,1716551551.6110125,0,1.0864176750183105,mc,"256,256",100,ddpm,vae,clap-laion-music,musiccaps
201,1716551553.9446104,0,21.39282989501953,mc,"256,256",100,ddpm,vae,vggish,musiccaps
202,1716551537.472796,0,1.0888231992721558,mc,"256,256",100,ddim,vae,clap-laion-audio,fma_pop
203,1716551543.1433237,0,1.1731936931610107,mc,"256,256",100,ddim,vae,clap-laion-music,fma_pop
204,1716551546.445134,0,16.66851234436035,mc,"256,256",100,ddim,vae,vggish,fma_pop
205,1716551549.1302767,0,1.0341304540634155,mc,"256,256",100,ddim,vae,clap-laion-audio,musiccaps
206,1716551551.797161,0,1.06587815284729,mc,"256,256",100,ddim,vae,clap-laion-music,musiccaps
207,1716551554.0985777,0,20.91025733947754,mc,"256,256",100,ddim,vae,vggish,musiccaps
208,1716552675.5470679,0,0.8174210786819458,mc,"256,256",500,ddpm,vae,clap-laion-audio,fma_pop
209,1716552682.3780365,0,0.9734604954719543,mc,"256,256",500,ddpm,vae,clap-laion-music,fma_pop
210,1716552685.9588199,0,13.3045072555542,mc,"256,256",500,ddpm,vae,vggish,fma_pop
211,1716552688.7515273,0,0.7501093745231628,mc,"256,256",500,ddpm,vae,clap-laion-audio,musiccaps
212,1716552691.547066,0,0.8814878463745117,mc,"256,256",500,ddpm,vae,clap-laion-music,musiccaps
213,1716552693.930711,0,16.150436401367188,mc,"256,256",500,ddpm,vae,vggish,musiccaps
214,1716552675.6573668,0,0.817028820514679,mc,"256,256",500,ddim,vae,clap-laion-audio,fma_pop
215,1716552682.4082236,0,0.9648002982139587,mc,"256,256",500,ddim,vae,clap-laion-music,fma_pop
216,1716552685.9886503,0,13.401622772216797,mc,"256,256",500,ddim,vae,vggish,fma_pop
217,1716552688.8366182,0,0.7511579990386963,mc,"256,256",500,ddim,vae,clap-laion-audio,musiccaps
218,1716552691.6309617,0,0.8753879070281982,mc,"256,256",500,ddim,vae,clap-laion-music,musiccaps
219,1716552694.1131492,0,16.220561981201172,mc,"256,256",500,ddim,vae,vggish,musiccaps
220,1716551151.6982477,0,0.7966651916503906,mc,"256,256",1000,ddpm,vae,clap-laion-audio,fma_pop
221,1716551157.115716,0,0.9607120156288147,mc,"256,256",1000,ddpm,vae,clap-laion-music,fma_pop
222,1716551160.430693,0,12.695647239685059,mc,"256,256",1000,ddpm,vae,vggish,fma_pop
223,1716551163.0617843,0,0.730610728263855,mc,"256,256",1000,ddpm,vae,clap-laion-audio,musiccaps
224,1716551165.6899846,0,0.8766331076622009,mc,"256,256",1000,ddpm,vae,clap-laion-music,musiccaps
225,1716551167.9666903,0,15.528592109680176,mc,"256,256",1000,ddpm,vae,vggish,musiccaps
226,1716551153.6659446,0,0.7977051138877869,mc,"256,256",1000,ddim,vae,clap-laion-audio,fma_pop
227,1716551159.2564769,0,0.948908805847168,mc,"256,256",1000,ddim,vae,clap-laion-music,fma_pop
228,1716551162.6240246,0,12.954392433166504,mc,"256,256",1000,ddim,vae,vggish,fma_pop
229,1716551165.2995443,0,0.7314096093177795,mc,"256,256",1000,ddim,vae,clap-laion-audio,musiccaps
230,1716551167.9974866,0,0.8697963953018188,mc,"256,256",1000,ddim,vae,clap-laion-music,musiccaps
231,1716551170.295336,0,15.618846893310547,mc,"256,256",1000,ddim,vae,vggish,musiccaps
232,1716552727.897808,0,0.7404536604881287,mc,"256,256",2500,ddpm,vae,clap-laion-audio,fma_pop
233,1716552735.3563223,0,0.9113509058952332,mc,"256,256",2500,ddpm,vae,clap-laion-music,fma_pop
234,1716552740.5949495,0,11.705916404724121,mc,"256,256",2500,ddpm,vae,vggish,fma_pop
235,1716552744.617751,0,0.6740323305130005,mc,"256,256",2500,ddpm,vae,clap-laion-audio,musiccaps
236,1716552748.677091,0,0.8244546055793762,mc,"256,256",2500,ddpm,vae,clap-laion-music,musiccaps
237,1716552752.1663566,0,14.393580436706543,mc,"256,256",2500,ddpm,vae,vggish,musiccaps
238,1716552280.0295208,0,0.7389776110649109,mc,"256,256",2500,ddim,vae,clap-laion-audio,fma_pop
239,1716552285.692623,0,0.8955472707748413,mc,"256,256",2500,ddim,vae,clap-laion-music,fma_pop
240,1716552288.9496346,0,12.185912132263184,mc,"256,256",2500,ddim,vae,vggish,fma_pop
241,1716552291.5770435,0,0.6740524768829346,mc,"256,256",2500,ddim,vae,clap-laion-audio,musiccaps
242,1716552294.163445,0,0.8190444111824036,mc,"256,256",2500,ddim,vae,clap-laion-music,musiccaps
243,1716552296.4108577,0,14.68746280670166,mc,"256,256",2500,ddim,vae,vggish,musiccaps
244,1716552727.9264307,0,0.7044733166694641,mc,"256,256",5000,ddpm,vae,clap-laion-audio,fma_pop
245,1716552735.386408,0,0.877335786819458,mc,"256,256",5000,ddpm,vae,clap-laion-music,fma_pop
246,1716552740.6239765,0,10.784669876098633,mc,"256,256",5000,ddpm,vae,vggish,fma_pop
247,1716552744.557054,0,0.6402142643928528,mc,"256,256",5000,ddpm,vae,clap-laion-audio,musiccaps
248,1716552748.6479604,0,0.7874879240989685,mc,"256,256",5000,ddpm,vae,clap-laion-music,musiccaps
249,1716552752.1957595,0,13.446134567260742,mc,"256,256",5000,ddpm,vae,vggish,musiccaps
250,1716552727.7018585,0,0.7037593722343445,mc,"256,256",5000,ddim,vae,clap-laion-audio,fma_pop
251,1716552735.4151719,0,0.8640720844268799,mc,"256,256",5000,ddim,vae,clap-laion-music,fma_pop
252,1716552740.6589167,0,11.312358856201172,mc,"256,256",5000,ddim,vae,vggish,fma_pop
253,1716552744.5882852,0,0.6398101449012756,mc,"256,256",5000,ddim,vae,clap-laion-audio,musiccaps
254,1716552748.6164124,0,0.788253664970398,mc,"256,256",5000,ddim,vae,clap-laion-music,musiccaps
255,1716552752.1351922,0,13.82033634185791,mc,"256,256",5000,ddim,vae,vggish,musiccaps
256,1716551152.8075724,0,0.6804466247558594,mc,"256,256",10000,ddpm,vae,clap-laion-audio,fma_pop
257,1716551158.456578,0,0.8501764535903931,mc,"256,256",10000,ddpm,vae,clap-laion-music,fma_pop
258,1716551161.7377136,0,10.29669189453125,mc,"256,256",10000,ddpm,vae,vggish,fma_pop
259,1716551164.2904773,0,0.6139554977416992,mc,"256,256",10000,ddpm,vae,clap-laion-audio,musiccaps
260,1716551166.8929992,0,0.7541687488555908,mc,"256,256",10000,ddpm,vae,clap-laion-music,musiccaps
