,Unnamed: 0,file_path,noise_level,bin,type
89,1581,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_13.wav,-67.062256,0,ddim
90,1636,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_883.wav,-67.03292,0,ddim
91,861,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_145.wav,-66.98151,0,ddim
92,506,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_797.wav,-66.89825,0,ddpm
93,1333,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_574.wav,-66.826355,0,ddim
94,770,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_525.wav,-66.82249,0,ddpm
95,1712,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_538.wav,-66.79247,0,ddim
96,879,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_1003.wav,-66.75139,0,ddim
97,63,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_513.wav,-66.64339,0,ddpm
98,667,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_616.wav,-66.64008,0,ddpm
99,1277,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_624.wav,-66.57092,0,ddim
100,1533,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_53.wav,-66.56603,0,ddim
101,1147,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_86.wav,-66.483826,0,ddim
102,654,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_385.wav,-66.472946,0,ddpm
103,1297,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_749.wav,-66.422424,0,ddim
104,1658,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_1023.wav,-66.359604,0,ddim
105,1407,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_861.wav,-66.35601,0,ddim
106,1467,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_111.wav,-66.32112,0,ddim
107,775,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_716.wav,-66.30153,0,ddpm
108,570,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_722.wav,-66.261795,0,ddpm
109,1572,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_695.wav,-66.183266,0,ddim
110,1609,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_903.wav,-66.17299,0,ddim
111,644,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_481.wav,-66.08717,0,ddpm
112,311,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_685.wav,-65.86775,0,ddpm
113,1425,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_381.wav,-65.81528,0,ddim
114,1067,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_315.wav,-65.78781,0,ddim
115,373,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_272.wav,-65.76335,0,ddpm
116,277,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_630.wav,-65.7624,0,ddpm
117,692,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_689.wav,-65.69593,0,ddpm
118,337,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_240.wav,-65.58471,0,ddpm
119,1016,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_880.wav,-65.489716,0,ddim
120,1793,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_264.wav,-65.48217,0,ddim
121,1095,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_104.wav,-65.36795,0,ddim
122,1242,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_127.wav,-65.36296,0,ddim
123,1241,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_651.wav,-65.30483,0,ddim
124,200,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_248.wav,-65.29418,0,ddpm
125,1160,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_406.wav,-65.23028,0,ddim
126,1286,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_735.wav,-65.21068,0,ddim
127,1278,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_152.wav,-65.164246,0,ddim
128,1081,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_121.wav,-65.14197,0,ddim
129,476,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_53.wav,-65.14021,0,ddpm
130,591,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_648.wav,-65.12933,0,ddpm
131,321,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_770.wav,-65.124954,0,ddpm
132,941,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_674.wav,-65.11189,0,ddim
133,1211,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_550.wav,-65.01926,0,ddim
134,1791,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_67.wav,-65.00114,0,ddim
135,918,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_963.wav,-64.8621,0,ddim
136,455,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_153.wav,-64.82915,0,ddpm
137,10,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_288.wav,-64.82615,0,ddpm
138,1263,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_1014.wav,-64.76509,0,ddim
139,1035,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_360.wav,-64.7619,0,ddim
140,11,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_259.wav,-64.686035,0,ddpm
141,175,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_365.wav,-64.65293,0,ddpm
142,881,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_710.wav,-64.60872,0,ddim
143,1486,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_913.wav,-64.587944,0,ddim
144,841,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddim_nisteps_100/audio_762.wav,-64.529495,0,ddim
145,739,../models/ssd_512_128/model_step_40000/samples/audio/sch_ddpm_nisteps_1000/audio_136.wav,-64.4986,0,ddpm
